0.0,769.4
5.0,821.5
10.0,800.7
15.0,801.0
20.0,795.1
25.0,799.2
30.0,799.9
35.0,843.2
40.0,793.9
45.0,762.8
50.0,810.7
55.0,815.7
60.0,807.1
65.0,813.3
70.0,812.8
75.0,760.5
80.0,797.2
85.0,822.5
90.0,819.2
95.0,818.5
100.0,782.3
105.0,805.7
110.0,811.9
115.0,805.4
120.0,816.3
125.0,761.3
130.0,779.6
135.0,736.9
140.0,651.1
145.0,512.3
150.0,372.5
155.0,135.4
160.0,25.1
165.0,23.6
170.0,24.1
175.0,24.0
180.0,23.8
185.0,23.8
190.0,24.0
195.0,23.9
200.0,23.9
205.0,24.1
210.0,23.8
215.0,23.9
220.0,24.3
225.0,23.8
230.0,23.9
235.0,24.0
240.0,23.6
245.0,23.8
250.0,23.8
255.0,24.0
260.0,23.9
265.0,23.8
270.0,23.9
275.0,24.0
280.0,23.9
285.0,23.9
290.0,24.0
295.0,24.1
300.0,23.7
305.0,22.7
310.0,384.7
315.0,704.1
320.0,824.7
325.0,815.6
330.0,825.9
335.0,769.2
340.0,788.8
345.0,802.7
350.0,807.9
355.0,822.7
360.0,787.7
365.0,800.6
370.0,817.0
375.0,798.5
380.0,792.6
385.0,809.1
390.0,802.4
395.0,834.9
400.0,787.9
405.0,797.6
410.0,809.3
415.0,810.0
420.0,786.2
425.0,788.2
430.0,798.7
435.0,821.0
440.0,807.3
445.0,780.0
450.0,776.8
455.0,782.9
460.0,826.1
465.0,779.5
470.0,785.1
475.0,804.3
480.0,812.4
485.0,781.1
490.0,787.5
495.0,800.0
