0,811.902
5,815.534
10,813.779
15,814.199
20,815.445
25,815.432
30,818.199
35,816.748
40,816.567
45,814.55
50,813.087
55,815.686
60,815.596
65,812.568
70,815.262
75,814.985
80,817.044
85,814.704
90,814.845
95,817.382
100,815.548
105,816.037
110,815.184
115,815.662
120,815.101
125,813.355
130,814.708
135,815.508
140,816.841
145,815.674
150,816.102
155,814.594
160,815.463
165,815.31
170,814.199
175,815.1
180,815.896
185,815.169
190,815.575
195,816.173
200,814.717
205,813.061
210,815.304
215,815.886
220,816.5
225,815.98
230,817.653
235,815.133
240,815.154
245,810.929
250,814.916
255,813.573
260,816.662
265,818.998
270,816.163
275,813.954
280,816.121
285,815.569
290,816.961
295,812.134
300,815.371
305,814.582
310,811.635
315,814.074
320,814.772
325,816.977
330,812.135
335,816.859
340,814.539
345,811.956
350,813.158
355,816.224
360,816.126
365,814.705
370,817.557
375,814.421
380,814.173
385,816.481
390,815.786
395,814.893
400,813.178
405,812.843
410,815.113
415,815.194
420,817.163
425,815.062
430,813.229
435,815.93
440,812.851
445,812.329
450,813.962
455,814.04
460,816.629
465,818.094
470,813.788
475,816.491
480,816.029
485,815.478
490,813.108
495,816.674
